iter	Passed	Remaining
0	839	838318
1	1653	824916
2	2461	817897
3	3271	814504
4	4074	810916
5	4867	806449
6	5670	804400
7	6493	805143
8	7277	801379
9	8061	798135
10	8864	797027
11	9681	797123
12	10493	796716
13	11304	796187
14	12100	794615
15	12917	794429
16	13731	793999
17	14696	801757
18	15728	812082
19	16823	824367
20	17621	821488
21	18414	818602
22	19221	816515
23	20078	816538
24	21210	827226
25	22545	844594
26	23345	841286
27	24269	842495
28	25146	841987
29	26175	846339
30	27006	844180
31	27797	840877
32	28594	837906
33	29854	848215
34	30703	846537
35	31493	843335
36	32285	840290
37	33087	837634
38	33898	835287
39	34697	832731
40	35487	830072
41	36288	827718
42	37089	825449
43	37875	822921
44	38675	820770
45	39483	818860
46	40301	817169
47	41104	815233
48	41914	813474
49	42702	811342
50	43487	809217
51	44287	807396
52	45088	805633
53	45890	803929
54	46704	802459
55	47498	800683
56	48297	799035
57	49113	797669
58	49908	795998
59	50710	794464
60	51499	792754
61	52294	791171
62	53100	789763
63	53898	788271
64	54671	786429
65	55471	785003
66	56273	783635
67	57049	781907
